DC		10.98	-		9.02	-		7.65	-		6.22	-		5.86	-
42.85	15.98	0.17	22.61	0.25	24.23	0.24	33.34	0.35	41.74	0.47
30.76	23.12	0.26	33.14	0.37	37.88	0.39	44.46	0.44	50.07	0.56
23.8	33.1	0.36	46.33	0.58	47.48	0.47	62.76	0.68	61.14	0.68
19.35	42.11	0.46	48.10	0.49	61.46	0.73	72.28	0.73	79.7	0.89
14.03	61.72	0.69	76.22	0.94	82.86	0.90	100.09	1.13	110.92	1.25
12.23	62.65	0.70	85.16	0.98	90.40	0.93	116.76	1.36	124.24	1.41
10.98	44.58	0.49	86.58	0.90	97.37	0.95	-		-		147.9	1.68
9.02	-		- 		65.58	0.72	142.01	1.78	171.68	1.94	171.07	1.95
7.65	-		-		-		-		90.56	0.24	189.59	2.02	212.37	2.42
6.22	-		-	  	-		-		-		-		135.54	1.47	250.94	2.87
5.86	-		-		-		-		-		-		-		-		152.55	1.75
